#heliumInput = PHENOTYPE
LineName	Phenotype1=trs	Phenotype2=tca
2002642	268.8421316	47.209965
2002643	238.5	56.673375
2002644	251.5	52.12906875
2002645	264	51.72069375
2002646	247.2547453	51.6086175
2002647	253	52.18125
2002648	260.0952988	51.32320875
2002649	256.5	43.3558125
2002650	253	46.12595625
2002651	258.5	51.046875
2002652	246.499635	42.69834892
2002653	250.4688318	41.191909
2003362	219.2983422	39.6713625
2003363	231.9827787	53.18933125
2003364	220.0525142	45.40738125
2003365	228.5550575	41.39165938
2003366	214.9190757	44.65378958
2003367	236.5610803	44.3601125
2003368	214.8843976	39.44158854
2003369	219.0325768	51.17190833
2003371	278.8403355	31.99877446
2003372	235.1931838	43.21729271
2003373	223.9207274	35.96548542
2003374	239.9926357	50.8203025
2003375	226.6769862	43.30388333
2003376	221.6562828	48.15295833
2003377	201.3225012	66.73931458
2003378	252.8806323	40.24043792
2003379	212.9532587	42.91983438
2003380	223.8472481	51.31055417
2003381	242.0285393	36.42512156
2003382	209.9093325	50.871425
2003385	219.3686997	41.92397917
2003386	221.5071388	34.8561125
2003387	225.4840824	39.33321188
2003388	221.6082629	44.49409479
2003389	225.3731831	44.1332375
2003390	220.8414365	46.4008875
2003391	244.0942713	39.70302188
2003392	243.4391582	40.67274063
2003393	236.0150212	44.14045625
2003394	204.7242777	54.13905521
2003395	199.1276295	41.57232292
2003396	258.5188702	35.57256583
2003397	232.3852133	39.91385406
2003398	216.054663	44.37851458
2003399	227.2556227	32.27675
2003700	223	39.0724125
2003701	250	37.30505625
2003702	249.5	47.053875
2003703	252.625	42.08446172
2003704	255.2857143	42.95206143
2003705	215	38.1830625
2003706	220	36.44746875
2003707	277	37.04755313
2003708	275.8571429	40.44180839
2003709	232	41.4183
2003710	210	41.354775
2003711	255	38.89707054
2003712	231	46.52979375
2003713	252.875	36.80734922
2003714	231.125	36.95737031
2003715	222	42.3484875
2003716	252.7272727	44.56194188
2003717	239.625	41.19085781
2003718	261.75	34.92740625
2003719	246.5714286	42.11837143
2003720	239.2857143	38.64880446
2003721	226.8571429	36.79555982
2003722	232	63.05990625
2003723	233	39.1677
2003724	268	52.79835
2003725	240.375	38.92777969
2003726	267	33.4731375
2003727	222.7142857	35.69683661
2003728	280	41.32755
2003729	271	49.2091875
2003730	243.875	39.57777656
2003731	234.5	38.78484844
2003732	265.5	47.80483125
2003733	193	48.723675
2003734	197	46.9767375
2003735	249.75	38.91133125
2003736	239.125	33.71751429
2003737	252	45.12430313
2003738	239.625	34.44189375
2003739	217.125	38.04977344
2003740	204	44.8804125
2003741	255	49.98623438
2003742	247	49.1093625
2003743	276.3142105	42.95269543
2003744	209.7142857	44.71090446
2003745	225	42.7251
2003746	248.5	62.06619375
2003747	251.5	39.41159063
2003748	234	45.86618438
2003749	249.5714286	34.73683125
2003750	248	36.091275
2003751	246	33.3234
2003752	244.5	50.0894625
2003753	226	47.4123375
2003754	245.5	52.18692188
2003755	185	44.3994375
2003756	224	45.9966375
2003757	264.7727273	38.1463775
2003758	210	43.7415
2003759	247.8571429	36.09321964
2003760	235.5	50.7337875
2004400	246.8975	39.03903438
2004401	258.3225909	19.1558125
2004402	243.4134054	23.43089375
2004403	234.6229894	46.62481656
2004404	266.0125948	37.42807292
2004405	253.6210502	31.47588125
2004406	235.2924269	26.9966125
2004407	259.1427482	39.21296156
2004408	261.4071606	40.64408325
2004409	268.8813169	30.66385781
2004410	274.5155348	41.78330406
2004411	237.2591664	29.48089375
2004413	223.2395842	26.67445
2004414	230.0270825	26.6971375
2004415	220.3999985	25.25194375
2004416	238.5259279	28.19905
2004417	268.3237523	33.74130375
2004418	265.2420199	27.34637813
2004419	228.8856129	32.78079063
2004420	238.4420681	32.1300375
2004421	220.7656983	33.55859375
2004422	225.7803221	30.41145938
2004423	265.6275296	41.0598375
2004424	257.4439006	27.736225
2004425	249.5298113	47.40096757
2004426	236.7432068	24.17353125
