"","VARIETY","FEMALE","MALE","T_SPACRE","TRS_TON","TCA","FIBER","MSTWT","POPN","SAPCT","STPCT","TAPCT","SWPCT","POPPCT"
"1153",2012196,"L97-128","HOCP96-540",6840.51296875,228.958,31.064859375,83.2292411562144,2.039,31989.375,73.0571190326293,86.4534143907431,87.1447164822557,107.063954413242,83.8928720982066
"1154",2012197,"HOCP02-610","HOCP96-540",9837.77481784615,247.799285714286,40.0219134623077,86.9847729528359,2.00452380957143,40034.7115384615,105.068068603476,93.5677911826068,112.271498146776,105.253676198241,104.991952314941
"1155",2012198,"HOCP92-624","L04-425",8418.55432953846,242.464285714286,34.7935500015385,85.6541247076816,1.81738095235714,37661.25,89.9107023911011,91.5533214293131,97.6046282293933,95.4271659807058,98.7674948106546
"1156",2012199,"L06-040","HOCP96-540",9006.25907576923,248.249285714286,36.4626228376923,98.651553373253,2.10309523814286,34834.0384615385,96.1874269288031,93.7377089687328,102.286795862572,110.429471654356,91.3530674893728
"1157",2012200,"HOCP92-624","L01-299",9083.659815,230.002,40.04485547,81.3617110136357,2.2696666666,38341.875,97.0140718083653,86.8476236545554,112.335856228419,119.175815853907,100.552449536148
"1158",2012201,"L97-128","HOCP96-540",8626.28805534299,270.289617130349,31.9277276831845,85.5168215657351,2.51390719984802,25636.606241422,92.1293119606647,102.060029679179,89.5652783515546,132.000414832589,67.2325898347093
"1159",2012202,"LCP81-010","HOCP02-620",9974.27488676596,250.1275327125,40.1579569225532,95.411940084401,2.246451388875,33961.0213638298,106.525898130091,94.4469257948091,112.653134149993,117.95682642966,89.0635600601836
"1160",2012203,"LCP81-010","HOCP00-950",8829.60711675,228.774,40.5601453125,88.6997573164417,2.5076666666,31649.0625,94.3007726301602,86.3839368959716,113.781373386208,131.672736476934,83.0003947354597
"1161",2012204,"HOCP96-540","L02-325",8678.11990625,214.866,41.7858375025,87.022414119076,2.2386666666,36980.625,92.6828794663027,81.1323445194376,117.219747180297,117.548065688723,96.9825400851608
"1162",2012205,"L05-457","L99-226",6093.01098725,220.162,28.652327345,86.8744909394658,1.771,34371.5625,65.073749731372,83.1320880646004,80.376959473579,92.9917916948756,90.1402136374348
"1163",2012206,"L06-040","HOCP96-540",9078.899448,228.234,39.90504375,99.5575828483654,2.057,38909.0625,96.9632307822395,86.1800355526204,111.943649312134,108.009099670446,102.039911807393
"1164",2012207,"L97-128","HOCP96-540",7694.85920975,238.602,33.0980375,81.9441585333508,1.7523333332,38682.1875,82.1815919060756,90.0949413449632,92.8482907081103,92.0116410507744,101.444926898895
"1165",2012208,"HOCP92-624","L01-299",8891.4643105,215.648,42.32050625,97.0785488472195,2.089,42652.5,94.9614114429895,81.4276238722166,118.719627023639,109.689357905474,111.857162797609
"1166",2012209,"L05-457","L04-425",7697.99904575,224.422,35.10890625,84.2184774198576,1.574,43446.5625,82.2151255567598,84.7406431065931,98.4892815455839,82.6477019354795,113.939609977352
"1167",2012210,"N27","L99-226",9619.39150075,218.75,46.6164789075,90.5118162666666,2.1756666666,43673.4375,102.735720713088,82.5989238112451,130.770907048252,114.24005728851,114.534594885849
"1168",2012211,"HOCP05-902","L99-226",5782.47098725,230.616,26.3186343775,90.8552093621903,1.6226666666,32102.8125,61.7571625327165,87.0794670338473,73.830365795029,85.2030946644186,84.1903645524556
"1169",2012212,"HO91-572","HOCP96-540",8221.9000875,234.43,36.0472234375,88.936170255283,1.8816666666,39476.25,87.8104224216735,88.5196146700351,101.121496431479,98.802684754183,103.527374078638
"1170",2012213,"HOCP89-831","HOCP96-540",9132.7930225,234.072,39.779033595,76.9689208762827,2.0573333332,39476.25,97.5388176286248,88.3844356312949,111.590159244827,108.026602353393,103.527374078638
"1171",2012214,"L97-128","HOCP96-540",7430.58285275,233.062,31.554153125,95.3998849071787,1.5506666666,43900.3125,79.3591033940208,88.0030646002121,88.5173080850557,81.4225136356038,115.129579794347
"1172",2012215,"HOCP00-950","L06-001",8581.60211975,216.876,39.652078125,80.9654882111083,1.9156666666,41404.6875,91.6520632907747,81.8913106308004,111.234017332016,100.587959128901,108.58474580087
"1173",2012216,"HOCP92-624","L99-226",10310.4789985,211.458,50.0154445325,110.077298255466,2.1256666666,45715.3125,110.116579694824,79.8455004858435,140.305857525508,111.614653796278,119.889459062331
"1174",2012217,"HOCP92-624","LCP85-384",8581.3895295,222.572,39.6949007825,98.6568363439533,1.9363333334,41177.8125,91.649792813214,84.0420922080751,111.354145619152,101.673125912692,107.989760892372
"1175",2012218,"N27","L01-299",11592.0700380769,222.483571428571,51.83871529,108.65023579503,2.48157142857143,42268.5576923077,123.804054531471,84.0087020145475,145.42058897543,130.302525895917,110.850265260151
"1176",2012219,"HO95-988","L99-233",4929.8114475,209.798,25.2273656275,90.0178585061826,1.666,32216.25,52.6507037372432,79.2186926525787,70.7690834413343,87.4784443611873,84.4878570067045
"1177",2012220,"HOCP89-831","HOCP96-540",7664.72763775,221.01,35.7642914075,86.4505325407616,1.5076666666,50139.375,81.859784776654,83.4522886926778,100.327801174711,79.1646666322838,131.49166477804
"1178",2012221,"L05-457","L99-233",9069.18597475,203.598,45.4423062525,96.3666685453454,1.648,57512.8125,96.8594902623856,76.8776031548428,127.477058462427,86.5332991039836,150.828674304223
"1179",2012222,"HOCP95-951","L01-299",6521.457939,243.126,27.50244922,105.980354477333,1.2916666666,45375,69.6495907678793,91.8031814881498,77.1512631334593,67.8229235458394,118.996981699584
"1180",2012223,"LCP81-010","LCP85-384",8729.182603,238.064,37.3773726575,105.498283400925,1.7876666666,44694.375,93.2282323560105,89.8917951917725,104.852898375287,93.8669261887859,117.21202697409
"1181",2012224,"L97-128","HOCP96-540",7715.275258,204.092,40.12284375,82.1673640454412,1.9396666666,42879.375,82.3996366161711,77.0641351245011,112.554632900397,101.848152805173,112.452147706107
"1182",2012225,"HOCP00-930","L00-266",8005.262238,242.688,33.5088703125,113.072742642572,1.889,38795.625,85.4967162376201,91.6377948429871,94.0007797161801,99.1877439365443,101.742419353144
"1183",2012227,"L01-283","L99-226",10824.8950889355,247.1473584375,43.9773036322581,107.136518610519,2.68963541665625,31003.810483871,115.610576668872,93.3216266501922,123.367358931983,141.227564314431,81.3082064741942
"1184",2012228,"HOCP89-831","LCP85-384",7468.969197,205.104,37.672877345,101.738129004941,1.5036666668,49685.625,79.7690720226764,77.4462613457445,105.681863087488,78.9546343634068,130.301694961044
"1185",2012229,"HOCP89-831","LCP85-384",9367.123876,240.78,38.5230550492308,93.6538630907083,1.89380952385714,40907.3076923077,100.041486234821,90.917343429813,108.06682463199,99.4402827511547,107.280355809163
"1186",2012230,"HO95-988","HOCP96-540",9481.97094669231,233.307857142857,41.0960502415385,80.1941744888551,2.35821428571429,36020.7692307692,101.268060345921,88.0958990478067,115.284721028595,123.825280422938,94.4652962415158
"1187",2012231,"L04-425","L99-226",10658.724558,248.37,43.82005547,81.641708460755,2.3253333332,37434.375,113.835864697163,93.783290089138,122.926238424985,122.098765071759,98.1725099021567
"1188",2012232,"HOCP00-930","L99-233",8966.95099953846,229.270714285714,38.6957127415385,92.2307628582977,2.1270238095,36614.1346153846,95.7676141432337,86.5714937665621,108.551172732942,111.68591475046,96.0214106175873
"1189",2012600,"US06-9608","L99-226",11525.85916,257.5,46.179271875,99.8481462368855,2.605,35846.25,123.096918089655,97.2307331720942,129.544431742784,136.783521945314,94.0076155426712
