PREFIX,VARIETY,AVARIETY,BAY,CART,CAN
HO,2009-827,HO09-827,5,B,3
L,1994-426,L94-426,5,B,4
L,2015-306,L15-306,5,B,5
HOCP,2014-802,HOCP14-802,5,B,6
L,2009-123,L09-123,5,B,7
L,2011-187,L11-187,5,B,8
L,2008-090,L08-090,5,B,9
HOCP,2004-847,HOCP04-847,5,B,10
L,2020-037,L20-037,5,B,11
HO,2009-9402,HO09-9402,5,B,12
L,2019-006,L19-006,5,B,13
HO,2008-730,HO08-730,5,B,14
L,2015-337,L15-337,5,B,15
L,2014-265,L14-265,5,B,16
L,2019-486,L19-486,5,B,17
L,2012-227,L12-227,5,B,18
L,2015-337,L15-337,5,C,1
HOCP,1992-624,HOCP92-624,5,C,2
L,2020-065,L20-065,5,C,3
L,2008-088,L08-088,5,C,4
HOCP,1996-540,HOCP96-540,5,C,5
HO,2009-9401,HO09-9401,5,C,6
HOCP,1997-609,HOCP97-609,5,C,7
L,1999-233,L99-233,5,C,8
L,2011-183,L11-183,5,C,9
HO,2006-563,HO06-563,5,C,10
L,2013-251,L13-251,5,C,11
L,2009-099,L09-099,5,C,12
HO,2018-878,HO18-878,5,C,13
HO,2013-739,HO13-739,5,C,14
L,2010-147,L10-147,5,C,15
US,2001-040,US01-040,5,C,16
HOCP,2009-814,HOCP09-814,5,C,17
L,2021-087,L21-087,5,C,18
HOCP,1992-624,HOCP92-624,6,A,1
L,2008-088,L08-088,6,A,2
L,2010-147,L10-147,6,A,3
L,2020-037,L20-037,6,A,4
HO,2009-9402,HO9-9402,6,A,5
HOCP,2001-523,HOCP01-523,6,A,6
L,2001-283,L01-283,6,A,7
HOCP,2014-885,HOCP14-885,6,A,8
HO,2011-573,HO11-573,6,A,9
HOCP,2001-517,HOCP01-517,6,A,10
HO,2012-615,HO12-615,6,A,11
L,2017-410,L17-410,6,A,12
CP,1983-644,CP83-644,6,A,13
N,64,N64,6,A,14
HOCP,2014-867,HOCP14-867,6,A,15
HOCP,2018-829,HOCP18-829,6,A,16
L,1994-433,L94-433,6,A,17
HO,1995-988,HO95-988,6,A,18
L,2015-337,L15-337,6,B,1
HOCP,1996-540,HOCP96-540,6,B,2
HOCP,1997-609,HOCP97-609,6,B,3
L,1999-226,L99-226,6,B,4
L,2015-306,L15-306,6,B,5
HO,2008-730,HO08-730,6,B,6
L,2014-265,L14-265,6,B,7
L,2012-227,L12-227,6,B,8
HO,2016-600,HO16-600,6,B,9
L,2006-001,L06-001,6,B,10
HO,2017-776,HO17-776,6,B,11
HOCP,2009-804,HOCP09-804,6,B,12
L,2019-021,L19-021,6,B,13
HO,2015-964,HO15-964,6,B,14
HOCP,2004-838,HOCP04-838,6,B,15
HOCP,1995-951,HOCP95-951,6,B,16
L,2003-371,L03-371,6,B,17
HOCP,2018-815,HOCP18-815,6,B,18
L,1999-226,L99-226,6,C,1
L,2006-001,L06-001,6,C,2
HOCP,2014-867,HOCP14-867,6,C,3
L,1999-233,L99-233,6,C,4
HO,2013-739,HO13-739,6,C,5
L,2009-123,L09-123,6,C,6
L,2011-187,L11-187,6,C,7
L,2019-006,L19-006,6,C,8
HOCP,2000-950,HOCP00-950,6,C,9
L,2012-202,L12-202,6,C,10
HOCP,2017-701,HOCP17-701,6,C,11
HOL,2015-508,HOL15-508,6,C,12
L,2014-282,L14-282,6,C,13
HOCP,2018-803,HOCP18-803,6,C,14
L,2014-276,L14-276,6,C,15
L,2007-057,L07-057,6,C,16
N,39,N39,6,C,17
L,2019-498,L19-498,6,C,18
