# heliumInput = PEDIGREE
LineName	FemaleParent	MaleParent
2003742	1985384	1992631
2003743	1985384	1992631
2003745	1989831	1985384
2003746	1986454	1992631
2003747	1986454	1992631
2003748	1989831	1985384
2003749	1989831	1985384
2003752	1993750	1985384
2003757	1986454	1993750
2003759	199711	1985384
2003760	1986454	1992631
2004400	1977042	1985384
2004401	1991255	1985384
2004405	1996509	1995482
2004408	1986454	1985384
2004410	1992648	1985384
2004414	1996565	1985384
2004416	1965357	1985384
2004418	1992648	1985384
2004419	1986454	1985384
2004420	1986454	1985384
2004421	1992648	1990018
2004425	1994432	1985384
2004426	1996026	1995988
2004427	1992648	1985384
2004428	1992648	1985384
2004429	1989889	1985384
2004438	1986454	1985384
2004805	1994864	1986454
2004813	1994828	1986454
2004818	1993750	1985384
2004825	1994808	1986454
2004826	1994864	1985384
2004843	1995908	1986454
2004849	1989831	1985384
2004850	1994856	1986454
2004854	1993746	1985384
2004855	1995995	1985384
2004858	1983606	1985384
2005439	1981010	1985384
2005441	1992624	1985384
2005443	1987492	1999233
2005446	1999229	1985384
2005448	1987492	1999233
2005449	1986454	1985384
2005450	1979010	1985384
2005451	1981010	1985384
2005452	1999226	1999233
2005456	1999233	1985384
2005459	1989113	1985384
2005461	1999233	1985384
2005467	1995988	1994433
2005473	1995951	1985384
2005901	1995951	1986454
2005906	1986454	1995908
2005927	1986454	1992631
2005931	1992631	1985384
2005932	1992631	1985384
2005933	1992631	1985384
2005934	1989831	1985384
2005945	1989831	1985384
2005951	1986454	1999226
2005953	1977042	1992618
2005954	1989846	1985384
2005960	1993750	1986454
2005961	1983644	1977042
2006007	1965357	1992312
2006008	1989846	1977042
2006011	1981010	1985384
2006017	1992624	2000257
2006019	1995988	1989113
2006021	1981010	1985384
2006022	1983153	1999233
2006023	1983153	1999233
2006026	1986454	1985384
2006027	1999226	NA
2006028	1992624	1999233
2006032	1996509	1985384
2006034	1999226	1985384
2006036	1985313	1996509
2006037	1986454	1999233
2006038	1992624	1999233
2006039	1999226	1985384
2006040	1981010	1985384
2006502	1995908	1985384
2006504	1992648	1995988
2006505	1994864	1986454
2006506	1994864	1986454
2006507	1994864	1986454
2006510	1992675	1985384
2006511	1992675	1985384
2006515	1993770	1985384
2006516	1999833	1994856
2006518	1989879	2000945
2006530	1991555	1985384
2006531	1988739	2000945
2006532	1991555	1986454
2006533	1991555	1989831
2006536	1986454	NA
2006542	1999226	1985384
2006543	1999226	1985384
2006548	2000932	1985384
2006549	2000932	1985384
2006550	2000932	1985384
2006551	2000932	1985384
2006552	2000932	1985384
2006553	2000932	1985384
2006554	2000945	1985384
2006556	1994856	1985384
2006557	1994856	1985384
2006561	1998741	1977042
2006565	1977042	1994856
2006566	1977042	2000955
2007043	1985384	2000247
2007045	1992624	1998741
2007047	1998741	1985384
2007049	1992624	1999226
2007051	1995988	1985384
2007052	1995988	1985384
2007053	1992624	2000266
2007055	2000905	NA
2007061	1995988	1985384
2007062	1993363	1985384
2007063	1995988	1985384
2007064	1985384	2001517
2007065	1985384	NA
2007067	1991281	1999226
2007069	1995988	2000266
2007070	1985384	2001517
2007071	1983644	1999233
2007072	1985384	2001517
2007600	1993750	1986454
