# heliumInput = PEDIGREE
"LineName"	"MaleParent"	"FemaleParent"
"CP62238"	"CP52011"	"CP48103"
"CP62240"	"CP56008"	"CP52001"
"CP62244"	"CP53017"	"CP52001"
"CP62247"	"CP53016"	"CP48103"
"CP62249"	"CP53016"	"CP48103"
"CP62250"	"CP33224"	"CP53018"
"CP62251"	"CP51021"	"CP52068"
"CP62252"	"CP33224"	"CP53018"
"CP62254"	"CP51021"	"CP52068"
"CP62258"	"CP33224"	"CP53018"
"CP62261"	"CP33224"	"CP55030"
"CP62264"	"F46345"	"CP48103"
"CP62282"	"CP43064"	"CP52001"
"CP62284"	"CP56008"	"CP53001"
"CP62286"	"CP43064"	"CP53018"
"CP62287"	"CP43064"	"CP53018"
"CP62307"	"CP43064"	"CP48103"
"CP62313"	"CP51021"	"CP52001"
"CP62321"	"CP51024"	"CP50041"
"CP62325"	"CP56008"	"CP53001"
"CP62332"	"CP51021"	"CP53018"
"CP62334"	"CP51021"	"CP53018"
"CP62350"	"CP52015"	"CP53018"
"CP62374"	"CP33224"	"CP53018"
"CP63301"	"CP52070"	"CP48103"
"CP63304"	"CP48103"	"CP52068"
"CP63309"	"CP51024"	"CP52068"
"CP63312"	"CP52064"	"CP48103"
"CP63313"	"CP48103"	"CP44155"
"CP63314"	"CP48103"	"CP44155"
"CP63326"	"CP48103"	"CP44155"
"CP63328"	"CP48103"	"CP52068"
"CP63341"	"CP50041"	"CP44155"
"CP63346"	"CP44155"	"CP57004"
"CP63354"	"CP46115"	"CP52001"
"CP63359"	"P"	"CP50041"
"CP63361"	"CP44101"	"CP52068"
"CP63362"	"P"	"CP50041"
"CP63366"	"P"	"CP50041"
"CP63368"	"CP48103"	"CP52001"
"CP63369"	"CP48103"	"CP52001"
"CP63372"	"CP48103"	"CP52001"
"CP63384"	"CP50041"	"CP56008"
"CP63428"	"CP51024"	"CP52068"
"CP63561"	"US6083"	"CP57101"
"CP63566"	"US6083"	"CP57101"
"CP63571"	"US6083"	"CL54134"
"CP63588"	"CP57120"	"CL541910"
"CP6403+C140707"	"CP48103"	"CP52068"
"CP640307"	"CP48103"	"CP52068"
"CP640313"	"CP48103"	"CP52001"
"CP640314"	"CP48103"	"CP52001"
"CP640326"	"F46345"	"CP48103"
"CP640348"	"CP44155"	"CP52068"
"CP640387"	"F46345"	"CP29320"
"CP640388"	"CP33224"	"CP53018"
"CP650310"	"CP48103"	"CP52068"
"CP650312"	"Polycross"	"CP55030"
"CP650316"	"CP48103"	"CP52068"
"CP650349"	"CP56012"	"F36819"
"CP650350"	"CP48103"	"CP52001"
"CP650357"	"CP53017"	"CP52068"
"CP650372"	"CP48103"	"CP52068"
"CP660301"	"CP52011"	"CP59022"
"CP660312"	"CP52011"	"CP52068"
"CP660315"	"CP53017"	"CP52068"
"CP660316"	"CP53017"	"CP52068"
"CP660320"	"CP53017"	"CP52068"
"CP660321"	"CP53017"	"CP52068"
"CP660326"	"CP58048"	"CP50028"
"CP660346"	"CP50040"	"CP44155"
"CP660372"	"CP50040"	"CP53018"
"CP660376"	"CP55038"	"CP48103"
"CP660379"	"CP51021"	"CP44155"
"CP660380"	"CP51021"	"CP44155"
"CP660388"	"CP51024"	"CP44155"
"CP660398"	"CP53005"	"CP52068"
"CP661043"	"CP57614"	"CP52001"
"CP670345"	"CP52011"	"NCo310"
"CP670389"	"CP56012"	"CP55030"
"CP670404"	"CP57526"	"CP61060"
"CP670411"	"CP53016"	"CP44155"
"CP670412"	"CP53016"	"CP44155"
"CP670413"	"CP53016"	"CP44155"
"CP670422"	"CP53017"	"CP59022"
"CP670424"	"CP57526"	"CP59043"
"CP670430"	"CP62258"	"CP61037"
"CP680306"	"CP44155"	"CP62321"
"CP680311"	"CP55038"	"CP61023"
"CP680316"	"CP55038"	"CP61023"
"CP680331"	"CP57614"	"CP62265"
"CP680338"	"CP57614"	"CP62265"
"CP680342"	"CP51021"	"CP62333"
"CP680348"	"CP62258"	"CP61057"
"CP680350"	"CP57614"	"CP61039"
"CP680352"	"CP57614"	"CP61039"
"CP680356"	"CP57614"	"CP55030"
"CP680359"	"CP57614"	"CP55030"
"CP680361"	"CP57614"	"CP55030"
"CP680362"	"CP57614"	"CP55030"
"CP680366"	"CP51021"	"CP55030"
"CP680368"	"CP51021"	"CP55030"
"CP680378"	"CP62258"	"CP61037"
"CP680383"	"CP62258"	"CP61037"
"CP680396"	"CP62258"	"CP61061"
"CP680407"	"CP57614"	"CP52068"
"CP680411"	"CP48103"	"CP61024"
"CP680412"	"CP57614"	"CP61025"
"CP681026"	"CP57614"	"CL47083"
"CP681067"	"CP57603"	"CP52068"
"CP690302"	"CP50027"	"CP61025"
"CP690308"	"CP53016"	"CP48103"
"CP690311"	"CP62258"	"CP61037"
"CP690312"	"CP62258"	"CP61037"
"CP690323"	"CP62258"	"CP61061"
"CP690332"	"CP61044"	"CP61025"
"CP690335"	"CP52614"	"CP61025"
"CP690338"	"CP53016"	"CP60044"
"CP690346"	"CP62287"	"CP61059"
"CP690347"	"CP61036"	"CP61041"
"CP690348"	"CP61036"	"CP61041"
"CP690349"	"CP61036"	"CP61041"
"CP690361"	"CP44101"	"CP62294"
"CP690363"	"CP61100"	"CP52001"
"CP690367"	"CP57614"	"CP61037"
"CP690373"	"CP57614"	"CP61037"
"CP690375"	"CP51614"	"CP61037"
"CP690377"	"CP53005"	"CP61037"
"CP690380"	"CP53005"	"CP51024"
"CP690384"	"CP50040"	"CP53018"
"CP690387"	"CP57614"	"CP44155"
"CP690391"	"CP53005"	"CP61043"
"CP690392"	"CP44101"	"CP61048"
"CP691052"	"CP56059"	"CP62374"
"CP691059"	"CP63588"	"CP52068"
"CP700300"	"CP57614"	"CP61084"
"CP700305"	"CP62258"	"CP52068"
"CP700310"	"CP48103"	"CP63310"
"CP700312"	"CP57614"	"CP61039"
"CP700317"	"CP57614"	"CP61039"
"CP700321"	"CP57614"	"CP61039"
"CP700324"	"CP57614"	"CP61039"
"CP700327"	"CP57614"	"CP61039"
"CP700330"	"CP57614"	"CP61039"
"CP700332"	"CP57614"	"CP61084"
"CP700337"	"CP62258"	"CP52068"
"CP700338"	"CP62258"	"CP52068"
"CP700378"	"CP62258"	"CP61037"
"CP700383"	"CP48103"	"CP57621"
"CP700394"	"CP56008"	"CP52068"
"CP700401"	"NG57208"	"CP55030"
"CP701133"	"CP67Poly06"	"CP56063"
"CP701233"	"CP57603"	"CL541910"
"CP710310"	"CP62258"	"CP52068"
"CP710313"	"CP51021"	"CP52068"
"CP710315"	"CP62258"	"CP52068"
"CP710316"	"CP62258"	"CP52068"
"CP710318"	"CP62258"	"CP52068"
"CP710321"	"CP62258"	"CP52068"
"CP710324"	"L62096"	"CP52068"
"CP710325"	"L61067"	"L60025"
"CP710326"	"CP51024"	"CP61037"
"CP710334"	"CP57614"	"CP52068"
"CP710337"	"CP62258"	"CP55030"
"CP710357"	"CP62258"	"CP55030"
"CP710369"	"CP62258"	"L61043"
"CP710371"	"CP62258"	"L61043"
"CP710374"	"CP62258"	"L61043"
"CP710376"	"CP62258"	"CP61039"
"CP710377"	"CP62258"	"CP52068"
"CP710380"	"CP57614"	"CP61039"
"CP710382"	"CP62258"	"CP61039"
"CP710399"	"CP63561"	"CP47193"
"CP710404"	"CL47083"	"CP63571"
"CP710405"	"CL47083"	"CP63571"
"CP710411"	"US6596198"	"L60025"
"CP710419"	"CL47083"	"CP63566"
"CP710421"	"CL47083"	"CP63571"
"CP710424"	"CP63561"	"CP48103"
"CP710439"	"CL47083"	"CP63571"
"CP710441"	"CL47083"	"CP63571"
"CP710444"	"CL47083"	"CP63571"
"CP710459"	"CP57603"	"US66924"
"CP710471"	"CP63561"	"CP52068"
"CP711038"	"CP56059"	"CP52068"
"CP711086"	"CP56059"	"CP52068"
"CP711194"	"CP56059"	"CP62374"
"CP711240"	"CP56059"	"CP62374"
"CP720310"	"L62096"	"L60025"
"CP720317"	"CP52068"	"CP61037"
"CP720321"	"L62096"	"L60025"
"CP720337"	"CP62258"	"L61067"
"CP720338"	"CP62258"	"L61067"
"CP720339"	"CP62258"	"L61067"
"CP720340"	"CP62258"	"L61067"
"CP720342"	"CP62258"	"L61067"
"CP720353"	"CP62258"	"CP52068"
"CP720355"	"CP62258"	"CP52068"
"CP720356"	"CP62258"	"CP63361"
"CP720358"	"CP62258"	"CP52068"
"CP720359"	"CP62258"	"CP52068"
"CP720360"	"CP62258"	"CP63361"
"CP720364"	"CP61084"	"CP52068"
"CP720370"	"CP52068"	"CP61037"
"CP720374"	"CP62258"	"CP61039"
"CP721210"	"CP56063"	"CP650357"
"CP721312"	"CP56063"	"CP650357"
"CP722079"	"CP63588"	"CP62374"
"CP722083"	"CP63588"	"CP62374"
"CP722086"	"CP63588"	"CP62374"
"CP730308"	"L62096"	"CP52068"
"CP730317"	"CP62258"	"CP52068"
"CP730334"	"CP57614"	"CP61037"
"CP730340"	"L65069"	"CP650357"
