# heliumInput = PEDIGREE
"LineName"	"MaleParent"	"FemaleParent"
"CP640307"	"CP48103"	"CP52068"
"CP640313"	"CP48103"	"CP52001"
"CP640314"	"CP48103"	"CP52001"
"CP640326"	"F46345"	"CP48103"
"CP640348"	"CP44155"	"CP52068"
"CP640387"	"F46345"	"CP29320"
"CP640388"	"CP33224"	"CP53018"
"CP650310"	"CP48103"	"CP52068"
"CP650312"	"POLYCROSS"	"CP55030"
"CP650316"	"CP48103"	"CP52068"
"CP650349"	"CP56012"	"F36819"
"CP650350"	"CP48103"	"CP52001"
"CP650357"	"CP53017"	"CP52068"
"CP650372"	"CP48103"	"CP52068"
"CP650392"	NA	NA
"CP660048"	NA	NA
"CP660301"	"CP52011"	"CP59022"
"CP660312"	"CP52011"	"CP52068"
"CP660315"	"CP53017"	"CP52068"
"CP660316"	"CP53017"	"CP52068"
"CP660320"	"CP53017"	"CP52068"
"CP660321"	"CP53017"	"CP52068"
"CP660326"	"CP58048"	"CP50028"
"CP660346"	"CP50040"	"CP44155"
"CP660372"	"CP50040"	"CP53018"
"CP660376"	"CP55038"	"CP48103"
"CP660379"	"CP51021"	"CP44155"
"CP660380"	"CP51021"	"CP44155"
"CP660388"	"CP51024"	"CP44155"
"CP660398"	"CP53005"	"CP52068"
"CP661043"	"CP57614"	"CP52001"
"CP670345"	"CP52011"	"NCO310"
"CP670389"	"CP56012"	"CP55030"
"CP670404"	"CP57526"	"CP61060"
"CP670411"	"CP53016"	"CP44155"
"CP670412"	"CP53016"	"CP44155"
"CP670413"	"CP53016"	"CP44155"
"CP670422"	"CP53017"	"CP59022"
"CP670424"	"CP57526"	"CP59043"
"CP670430"	"CP62258"	"CP61037"
"CP670614"	NA	NA
"CP67POLY06"	NA	NA
"CP680306"	"CP44155"	"CP62321"
"CP680311"	"CP55038"	"CP61023"
"CP680316"	"CP55038"	"CP61023"
"CP680331"	"CP57614"	"CP62265"
"CP680338"	"CP57614"	"CP62265"
"CP680342"	"CP51021"	"CP62333"
"CP680348"	"CP62258"	"CP61057"
"CP680350"	"CP57614"	"CP61039"
"CP680352"	"CP57614"	"CP61039"
"CP680356"	"CP57614"	"CP55030"
"CP680359"	"CP57614"	"CP55030"
"CP680361"	"CP57614"	"CP55030"
"CP680362"	"CP57614"	"CP55030"
"CP680366"	"CP51021"	"CP55030"
