,VARIETY,FEMALEPARENT,MALEPARENT,T_SPACRE,TRS_TON,TCA,FIBER,MSTWT,POPN,SYPCT,SCPCT,CYPCT,SWPCT,POPPCT
522,2004813,HOCP94-828,LCP86-454,11850.17924,261.5555556,45.45866016,108.1688251,1.951111111,45715.3125,126.5606775,98.762091,127.5229353,102.4490785,119.8894591
523,2004814,HOCP95-908,HO95-985,12561.30714,246.5065116,51.07116863,85.14828026,2.73627907,37427.29944,134.1555691,93.07964605,143.2674282,143.6767325,98.15395409
524,2004815,HO95-995,L94-426,12532.31069,254.5,48.97437188,97.47080942,2.63,38795.625,133.8458852,96.09794793,137.3853878,138.0962237,101.7424194
525,2004816,HO95-995,L94-426,12975.59495,248.2222222,52.12594922,101.4330374,2.274444444,44070.46875,138.5801897,93.72748993,146.2263521,119.4266877,115.5758185
526,2004817,HOCP92-624,L94-426,9967.206356,221,45.10048125,101.4330374,1.93,39930,106.4504058,83.44851274,126.5181537,101.3405748,104.7173439
527,2004818,HOCP93-750,LCP85-384,11618.79283,234.5,48.46730625,83.99923414,2.135,45601.875,124.0894557,88.54604633,135.9629416,112.1047291,119.5919666
528,2004819,HO94-856,HOCP93-750,12251.3019,251.7777778,49.28944453,89.54635337,2.501111111,38115,130.8446933,95.07005021,138.2692456,131.3285169,99.95746463
529,2004820,HOCP92-674,HOCP94-814,14306.01661,248.7777778,57.38916563,96.67836382,2.657777778,42142.03125,152.7891786,93.93726497,160.9909933,139.5547812,110.5184468
530,2004821,HOCP93-746,L93-378,12098.15988,271.5456522,44.60232563,93.08594374,1.961086957,45265.98514,129.2091266,102.5343023,125.1207023,102.9728909,118.7110877
531,2004822,HO94-864,HOCP95-944,11706.06938,195,60.031125,100.6405918,1.89,48097.5,125.0215748,73.63104065,168.4023515,99.24025201,126.1368006
532,2004823,HOCP92-674,HO94-861,12900.86629,277.6666667,46.68463594,111.7348303,2.204444444,41518.125,137.7820828,104.8455673,130.9621046,115.7511229,108.8822383
533,2004824,HOCP92-648,L93-378,11657.31457,242.7147826,47.7551525,103.5462257,2.115869565,45050.65969,124.5008704,91.64790782,133.9651719,111.1002269,118.1463918
534,2004825,HOCP94-808,LCP86-454,10463.70499,242.3333333,43.46698125,87.16901656,1.955555556,43333.125,111.7530432,91.50387445,121.9357767,102.6824477,113.6421175
535,2004826,HO94-864,LCP85-384,12797.19066,253,50.58178125,106.9801567,2.45,39476.25,136.6748204,95.53155531,141.894574,128.6447711,103.5273741
536,2004827,HOCP92-624,HO97-687,13945.07238,276.4444444,50.56079531,99.45192343,2.247777778,43900.3125,148.934271,104.3840622,141.8357031,118.0264726,115.1295798
537,2004828,HOCP96-529,HOCP95-950,11844.47901,236.2222222,50.31860625,95.09347261,2.432222222,40780.78125,126.4997986,89.19634896,141.1563021,127.7112943,106.9485373
538,2004829,HOCP85-845,LCP85-384,12875.29011,259.8888889,49.67343047,103.4141515,2.386666667,41688.28125,137.5089275,98.13276586,139.3464224,125.31926,109.3284769
539,2004830,HO94-856,HOCP93-775,10049.9783,231,43.84472813,84.79167974,2.195,40383.75,107.3344154,87.22446354,122.9954514,115.2552133,105.9073137
540,2004831,HOCP91-552,CP89-837,14815.6635,225,66.655875,85.58412535,2.68,51046.875,158.2322403,84.95889306,186.9864357,140.7216272,133.8716044
541,2004832,HOCP91-552,CP89-837,13150.59186,245.7777778,53.75632969,97.47080942,2.286666667,46055.625,140.449168,92.80447973,150.799978,120.068453,120.7819364
542,2004833,L93-363,CP90-941,11163.04236,248.1111111,45.59109844,98.26325503,1.972222222,45431.71875,119.2220113,93.68553492,127.8944578,103.5575822,119.1457279
