,MVARIETY,FVARIETY,X.1,X,CROSS,DATE,FEMALE,MALE,F_POL,M_POL,CUBICLE,FUZZ,GERM,SEED,CROSSING.SERIES,AVGGERMF,SUMSEEDF,AVGGERMM,SUMSEEDM,AVGGERMX,SUMSEEDX,XN,FEFF,MEFF,XEFF,SUMGCA,SUM_SURVIVE,SUM_LINE1NO,SUM_LINE2NO,SUM_INCNO,SUM_ASSIGNNO,FFP,FMP,FSYPCT,FSCPCT,FCYPCT,FSWPCT,FPOPPCT,FFIBPCT,MFP,MMP,MSYPCT,MSCPCT,MCYPCT,MSWPCT,MPOPPCT,MFIBPCT,XSYPCT,XSCPCT,XCYPCT,XSWPCT,XPOPPCT,FRUST,FMOS,FLS,FSMUT,MRUST,MMOS,MLS,MSMUT,FBru1,MBru1,FLS1,MLS1
6470,2011187,2014841,7836,7836,XL18-260,311,HOL14-841,L11-187,6,4,19,9.23,0,0,2018,3.4,181.94,8.269230769,1897.84,0,0,1,NA,0.009009009,NA,NA,NA,NA,NA,NA,NA,HOCP05-918,L01-283,121.4546263,104.7374912,115.8168396,95.33166735,122.2815374,87.59208226,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,114.5310728,101.3593663,112.3946583,99.99492212,109.3818999,,,,,R,R,NS,R,NA,-,NA,
6471,2011187,2005457,7905,7905,XL19-060,277,L05-457,L11-187,7,4,29,5.07,11,111.54,2019,38.2578125,139369.79,8.269230769,1897.84,4.5,156.16,4,0.000447666,0.009009009,NA,0.009456675,NA,NA,NA,NA,NA,L97-128,LCP87-492,123.5861123,89.04453413,138.2634036,100.7665195,134.4589665,109.6665874,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,115.5968158,93.51288781,123.6179403,102.7123482,115.4706144,MR,,,R,R,R,NS,R,-,-,,
6472,2011187,2008088,7906,7906,XL19-061,277,L08-088,L11-187,7,4,29,4.25,0,0,2019,NA,2486.5,8.269230769,1897.84,0,0,1,0,0.009009009,NA,0.009009009,NA,NA,NA,NA,NA,N27,03P22,94.85852223,91.597903,102.1956698,112.6619061,87.79843988,94.74435196,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,101.2330207,94.78957225,105.5840734,108.6600415,92.14035112,R,S,R,MR,R,R,NS,R,-,-,,
6473,2011187,1997128,7656,7656,XL18-080,267,L97-128,L11-187,7,4,4,2.53,0,0,2018,NA,88233.572,8.269230769,1897.84,3,30.72,2,0.00060763,0.009009009,NA,0.009616639,NA,NA,NA,NA,NA,LCP81-010,LCP85-384,97.33242339,100.4837029,97.36338275,116.2914104,81.86989935,99.10090029,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,102.4699713,99.23247222,103.1679299,110.4747937,89.17608085,MS,R,R,S,R,R,NS,R,NA,-,NA,
6474,2011187,2008090,7645,7645,XL18-069,264,L08-090,L11-187,6,4,28,7.76,1,15.52,2018,NA,35248,8.269230769,1897.84,7,88.94,3,0.00020829,0.009009009,NA,0.009217299,NA,NA,NA,NA,NA,HOCP91-552,L99-226,106.5094796,100.8130429,106.2003642,122.9770798,85.45190842,83.96864403,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,107.0584994,99.39714219,107.5864206,113.8176283,90.96708538,MS,R,MS,R,R,R,NS,R,-,-,,
6475,2011187,2001040,7462,7462,XL17-114,279,US01-040,L11-187,7,4,5,2.96,2,11.84,2017,31.925,15384.008,8.269230769,1897.84,2,11.84,1,0,0.009009009,NA,0.009009009,NA,NA,NA,NA,NA,HOCP93-775,US93-016,104.1937621,75.24875434,137.1292183,118.5694816,113.8448033,116.0618312,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,105.9006407,86.61499792,123.0508476,111.6138293,105.1635328,MR,R,,MR,R,R,NS,R,-,-,,
6476,2011187,2005457,7418,7418,XL17-070,270,L05-457,L11-187,8,4,11,3.62,2,14.48,2017,38.2578125,139369.79,8.269230769,1897.84,4.5,156.16,4,0.000447666,0.009009009,NA,0.009456675,NA,NA,NA,NA,NA,L97-128,LCP87-492,123.5861123,89.04453413,138.2634036,100.7665195,134.4589665,109.6665874,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,115.5968158,93.51288781,123.6179403,102.7123482,115.4706144,MR,,,R,R,R,NS,R,-,-,,
6477,2011187,2009827,7824,7824,XL18-248,306,HO09-827,L11-187,7,4,11,3.61,26,187.72,2018,NA,26679.92,8.269230769,1897.84,26,187.72,1,0.000440788,0.009009009,NA,0.009449797,NA,NA,NA,NA,NA,L01-283,HO94-856,141.4624177,90.73365274,154.6647196,123.4305297,124.7369558,80.9274673,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,124.5349685,94.35744712,131.8185983,114.0443533,110.6096091,R,R,,R,R,R,NS,R,+,-,,
6478,2011187,2011183,7417,7417,XL17-069,270,L11-183,L11-187,7,4,11,3.37,22,148.28,2017,30.24675325,24578.24,8.269230769,1897.84,22,148.28,1,0.000281373,0.009009009,NA,0.009290382,NA,NA,NA,NA,NA,HOCP92-624,LCP85-384,85.10316829,99.36651696,84.79573742,108.327264,77.90000212,92.0013239,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,96.35534377,98.67387923,96.88410719,106.4927205,87.19113224,MS,MS,MR,R,R,R,NS,R,-,-,,
6479,2011187,2006530,7464,7464,XL17-116,279,HO06-530,L11-187,7,4,5,7.43,27,401.22,2017,56,27726.74,8.269230769,1897.84,27,401.22,1,0,0.009009009,0,0.009009009,106,1,0,0,0,HOCP91-555,LCP85-384,132.8838731,93.66760194,141.7416053,113.0151913,121.7433553,91.68489893,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,120.2456962,95.82442172,125.3570411,108.8366841,109.1128088,,,,,R,R,NS,R,NA,-,NA,
6480,2011187,2015323,7487,7487,XL17-139,284,L15-323,L11-187,7,4,21,4.14,1,8.28,2017,8.333333333,169.8,8.269230769,1897.84,1,8.28,1,NA,0.009009009,NA,NA,NA,NA,NA,NA,NA,L05-457,L01-283,89.10154052,98.9331267,88.6836241,110.7116225,81.04542215,95.06016647,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,98.35452989,98.4571841,98.82805053,107.6848997,88.76384225,,,,,R,R,NS,R,NA,-,NA,
6481,2011187,2012615,6537,6537,XL14-223,293,HO12-615,L11-187,7,4,13,4.06,11,89.32,2014,4.102941176,3586.6,8.269230769,1897.84,11,89.32,1,NA,0.009009009,NA,NA,NA,NA,NA,NA,NA,TUCCP77-042,HOCP96-540,97.06415245,98.87237305,97.52942177,92.27361286,105.9057149,103.4987301,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,102.3358359,98.42680727,103.2509494,98.46589488,101.1939886,MS,R,MS,MR,R,R,NS,R,-,-,,
6482,2011187,1997128,7463,7463,XL17-115,279,L97-128,L11-187,7,4,5,2.56,6,30.72,2017,NA,88233.572,8.269230769,1897.84,3,30.72,2,0.00060763,0.009009009,NA,0.009616639,NA,NA,NA,NA,NA,LCP81-010,LCP85-384,97.33242339,100.4837029,97.36338275,116.2914104,81.86989935,99.10090029,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,102.4699713,99.23247222,103.1679299,110.4747937,89.17608085,MS,R,R,S,R,R,NS,R,NA,-,NA,
6483,2011187,2008090,7907,7907,XL19-062,277,L08-090,L11-187,6,4,29,0.88,7,12.32,2019,NA,35248,8.269230769,1897.84,7,88.94,3,0.00020829,0.009009009,NA,0.009217299,NA,NA,NA,NA,NA,HOCP91-552,L99-226,106.5094796,100.8130429,106.2003642,122.9770798,85.45190842,83.96864403,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,107.0584994,99.39714219,107.5864206,113.8176283,90.96708538,MS,R,MS,R,R,R,NS,R,-,-,,
6484,2011187,2008090,7720,7720,XL18-144,281,L08-090,L11-187,6,4,1,2.35,13,61.1,2018,NA,35248,8.269230769,1897.84,7,88.94,3,0.00020829,0.009009009,NA,0.009217299,NA,NA,NA,NA,NA,HOCP91-552,L99-226,106.5094796,100.8130429,106.2003642,122.9770798,85.45190842,83.96864403,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,107.0584994,99.39714219,107.5864206,113.8176283,90.96708538,MS,R,MS,R,R,R,NS,R,-,-,,
6485,2011187,2004847,7835,7835,XL18-259,311,HOCP04-847,L11-187,8,4,19,4.73,0,0,2018,NA,10543.5,8.269230769,1897.84,0,0,1,0.002622378,0.009009009,NA,0.011631387,NA,NA,NA,NA,NA,HOCP92-648,L94-426,136.1109351,93.69157701,144.5014945,137.7899095,104.0677173,92.74973403,HOCP00-950,HOCP01-523,107.6075193,97.9812415,108.972477,104.6581769,96.48226235,102.7525055,121.8592272,95.83640925,126.7369857,121.2240432,100.2749898,MR,R,,MR,R,R,NS,R,-,-,,
6486,2011190,2010156,6168,6168,XL12-383,279,L10-156,L11-190,6,3,17,5.37,27,289.98,2012,36,3583.34,53.42857143,2626.26,27,289.98,1,0.002320186,0,NA,0.002320186,NA,NA,NA,NA,NA,L97-128,L99-233,123.0719539,87.94345061,138.9706234,130.569168,104.7197713,88.87922541,L01-299,HOCP02-610,108.9999233,101.6033501,106.0311452,97.53417314,109.5769746,100.5342846,116.0359386,94.77340037,122.5008843,114.0516706,107.1483729,,,,,,,,,NA,NA,NA,NA
6487,2011190,2006563,6164,6164,XL12-379,279,HO06-563,L11-190,6,3,17,4.42,52,459.68,2012,39.28571429,25584.74,53.42857143,2626.26,52,459.68,1,0.000574053,0,NA,0.000574053,NA,NA,NA,NA,NA,TUCCP77-042,HOCP01-553,121.0897514,87.06209552,136.3536927,117.7692253,112.7935454,105.1070155,L01-299,HOCP02-610,108.9999233,101.6033501,106.0311452,97.53417314,109.5769746,100.5342846,115.0448373,94.33272283,121.1924189,107.6516992,111.18526,S,,MS,MS,,,,,-,NA,,NA
